relativt støjniveau;co2 (ppm);temprature (C);relativ luftfugtighed (&RH)
72;0;0;0
8;0;0;0
13;0;0;0
15;0;0;0
50;0;0;0
19;0;0;0
89;0;0;0
53;0;0;0
56;0;0;0
99;0;0;0
9;0;0;0
8;0;0;0
6;0;0;0
1;0;0;0
1;0;0;0
250;0;0;0
104;0;0;0
47;0;0;0
3;1072;28;27
6;1072;28;27
18;1072;28;27
6;1072;28;27
13;1072;28;27
4;1072;28;27
12;1072;28;27
15;1072;28;27
10;1072;28;27
5;1072;28;27
7;1072;28;27
111;1072;28;27
12;1072;28;27
2;1072;28;27
265;1072;28;27
105;1072;28;27
0;1072;28;27
2;1072;28;27
15;1072;28;27
9;1079;28;28
1;1079;28;28
3;1079;28;28
8;1079;28;28
6;1079;28;28
8;1079;28;28
7;1079;28;28
6;1079;28;28
10;1079;28;28
44;1079;28;28
43;1079;28;28
11;1079;28;28
304;1079;28;28
106;1079;28;28
8;1079;28;28
1;1079;28;28
194;1079;28;28
8;1079;28;28
9;1071;28;28
10;1071;28;28
3;1071;28;28
53;1071;28;28
6;1071;28;28
34;1071;28;28
66;1071;28;28
2;1071;28;28
9;1071;28;28
10;1071;28;28
3;1071;28;28
12;1071;28;28
18;1071;28;28
1;1071;28;28
1;1071;28;28
194;1071;28;28
134;1071;28;28
8;1071;28;28
26;1072;27;28
135;1072;27;28
8;1072;27;28
10;1072;27;28
10;1072;27;28
35;1072;27;28
16;1072;27;28
9;1072;27;28
140;1072;27;28
23;1072;27;28
34;1072;27;28
3;1072;27;28
41;1072;27;28
1;1072;27;28
227;1072;27;28
152;1072;27;28
0;1072;27;28
0;1072;27;28
4;1072;27;28
8;1072;27;29
26;1072;27;29
6;1072;27;29
11;1072;27;29
37;1072;27;29
17;1072;27;29
8;1072;27;29
147;1072;27;29
26;1072;27;29
37;1072;27;29
157;1072;27;29
134;1072;27;29
61;1072;27;29
123;1072;27;29
0;1072;27;29
42;1072;27;29
117;1072;27;29
